jobLink,jobCategory,salaryLow,salaryHighAdj,salaryMean,jobSeniorityCategories,skillsAgr
/pl/job/pmo-team-manager-agile-codibly-remote-qu06o4q,"Project Manager",20000,30000,25000,"6. Senior",langeng_high
/pl/job/pmo-team-manager-agile-codibly-remote-qu06o4q,"Project Manager",20000,30000,25000,"6. Senior",langpol_high
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Python
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Jenkins
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Kubernetes
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Docker
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Helm
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",K8s
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Linux
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",CI/CD
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Git
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",GCP
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",langeng
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",ML
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Airflow
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",spec
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Groovy
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",Terraform
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",spec
/pl/job/mlops-platform-engineer-pko-finat-warszawa-qu9htpn,DevOps,18480,23520,21000,"5. Mid",spec
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",React
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",TypeScript
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",JavaScript
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",langeng
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",langpol_high
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",ANGULAR
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",Docker
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",CSS
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",HTML
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",REST/RESTAPI
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",Git
/pl/job/senior-frontend-developer-focal-systems-remote-qua6v2z,Frontend,37191,53927,45559,"6. Mid-Senior",Redux
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",Cplusplus
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",spec
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",spec
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",langeng_inter
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",Agile
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",Docker
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",Python
/pl/job/qml-software-engineer-poland-spyrosoft-remote-quvvd1z,Backend,25200,33600,29400,"7. Senior-Expert",spec
/pl/job/snowflake-data-engineer-us-startup-from-poland-with-dev-remote-qux39bz,"Big Data",15000,28000,21500,"6. Mid-Senior",SQL
