jobLink,jobId,collectDate,jobTitle,salaryLow,jobSeniorityCategories,salaryHighAdj,companyName,jobCategory,employmentType,salaryMean
/pl/job/szoftvertesztelo-szintezis-net-kft-remote-c4pezgb,c4pezgb,26/02/2023,Szoftvertesztelő,6219,"3. Junior",9950,"Szintézis-Net Kft.",Testing,"Employment Contract",8085
/pl/job/copywriter-ibif-pl-lublin-c5mtekg,c5mtekg,26/02/2023,COPYWRITER,4900,"3. Junior",6200,IBIF.PL,Marketing,B2B,5550
/pl/job/lead-c-net-developer-idbc-creative-solutions-kft-budapest-c5uvjio,c5uvjio,26/02/2023,"Lead C#/.NET Developer",18657,"6. Senior",21144,"IDBC Creative Solutions Kft.",Backend,"Employment Contract",19901
/pl/job/tesztautomatizalo-mernok-lightware-zrt-budapest-c6b5hku,c6b5hku,26/02/2023,"Tesztautomatizáló mérnök",9950,"6. Mid-Senior",14925,"htware Zrt.",Testing,"Employment Contract",12438
/pl/job/mlodszy-programista-plsql-dahliamatic-warszawa-c6fyp89,c6fyp89,26/02/2023,"Młodszy programista PLSQL",4500,"3. Junior",7000,"DahliaMatic Sp. z o.o.",Backend,B2B,5750
/pl/job/junior-konsultant-ka-do-spraw-druku-nmi-erp-remote-c6pnawi,c6pnawi,26/02/2023,"Junior Konsultant/ka do spraw druku",4500,"3. Junior",5500,"NMI ERP Sp. z o.o.",Inne,"Employment Contract",5000
/pl/job/mlodszy-specjalista-ds-content-produktu-coral-travel-poland-warszawa-c7wpte8,c7wpte8,26/02/2023,"Młodszy specjalista ds. Content Produktu",4000,"3. Junior",5500,"Coral Travel Poland",Marketing,"Employment Contract",4750
/pl/job/front-end-developer-bny-mellon-wroclaw-c83migp,c83migp,26/02/2023,"Front-End Developer",13000,"5. Mid",22500,"BNY Mellon",Frontend,"Employment Contract",17750
/pl/job/asystent-w-dziale-kadr-i-plac-leasingteam-professional-warszawa-c91qxia,c91qxia,26/02/2023,"Asystent w dziale kadr i płac",3800,"3. Junior",4000,"LeasingTeam Professional",HR,OTHER,3900
/pl/job/fullstack-developer-js-node-js-bayer-warszawa-c9kdkzv,c9kdkzv,26/02/2023,"Fullstack Developer (JS",15000,"6. Mid-Senior",25000,o.,Fullstack,"Employment Contract",20000
/pl/job/mid-java-backend-developer-centrum-archiwistyki-spolecznej-warszawa-caq0pxz,caq0pxz,26/02/2023,"Mid Java Backend Developer",9000,"5. Mid",10500,"Centrum Archiwistyki Społecznej",,"Employment Contract",9750
/pl/job/konsultan-ka-ds-rekrutacji-hub-hr-warszawa-cautzyl,cautzyl,26/02/2023,"Konsultan (-ka) ds. rekrutacji",5000,"5. Mid",7000,"HUB HR",HR,"Employment Contract",6000
/pl/job/kierownik-oddzialu-grupa-progres-bialystok-cbtml2z,cbtml2z,26/02/2023,"Kierownik Oddziału",7000,"5. Mid",14000,"Grupa Progres",Sales,"Employment Contract",10500
/pl/job/ms-dynamics-365-consultant-f-o-crm-link-group-remote-cbvrqtn,cbvrqtn,26/02/2023,"MS Dynamics 365 Consultant (F&amp;O / CRM)",23520,"6. Mid-Senior",30240,"Link Group",ERP,B2B,26880
